image_name,label
crm-bottom-5-crop-aug-image-1.jpg,17.02
crm-bottom-5-crop-aug-image-2.jpg,16.72
crm-bottom-5-crop-aug-image-3.jpg,16.72
crm-bottom-5-crop-aug-image-4.jpg,16.71
crm-bottom-5-crop-aug-image-5.jpg,16.57
crm-bottom-5-crop-aug-image-6.jpg,16.5
crm-bottom-5-crop-aug-image-7.jpg,16.81
crm-bottom-5-crop-aug-image-8.jpg,16.81
crm-bottom-5-crop-aug-image-9.jpg,16.72
crm-bottom-5-crop-aug-image-10.jpg,16.56
crm-bottom-5-crop-aug-image-11.jpg,16.59
crm-bottom-5-crop-aug-image-12.jpg,16.71
crm-bottom-5-crop-aug-image-13.jpg,17.03
crm-bottom-5-crop-aug-image-14.jpg,16.81
crm-bottom-5-crop-aug-image-15.jpg,16.75
crm-bottom-5-crop-aug-image-16.jpg,16.62
crm-bottom-5-crop-aug-image-17.jpg,16.51
crm-bottom-5-crop-aug-image-18.jpg,16.99
crm-bottom-5-crop-aug-image-19.jpg,16.95
crm-bottom-5-crop-aug-image-20.jpg,16.82
crm-bottom-5-crop-aug-image-21.jpg,16.8
crm-bottom-5-crop-aug-image-22.jpg,16.7
crm-bottom-5-crop-aug-image-23.jpg,16.72
crm-bottom-5-crop-aug-image-24.jpg,16.76
crm-bottom-5-crop-aug-image-25.jpg,16.86
crm-bottom-5-crop-aug-image-26.jpg,16.95
crm-bottom-5-crop-aug-image-27.jpg,16.92
crm-bottom-5-crop-aug-image-28.jpg,16.9
crm-bottom-5-crop-aug-image-29.jpg,16.61
crm-bottom-5-crop-aug-image-30.jpg,16.76
crm-bottom-5-crop-aug-image-31.jpg,16.85
crm-bottom-5-crop-aug-image-32.jpg,16.67
crm-bottom-5-crop-aug-image-33.jpg,16.73
crm-bottom-5-crop-aug-image-34.jpg,16.79
crm-bottom-5-crop-aug-image-35.jpg,16.64
crm-bottom-5-crop-aug-image-36.jpg,16.65
crm-bottom-5-crop-aug-image-37.jpg,16.99
crm-bottom-5-crop-aug-image-38.jpg,16.74
crm-bottom-5-crop-aug-image-39.jpg,16.91
crm-bottom-5-crop-aug-image-40.jpg,16.74
crm-bottom-5-crop-aug-image-41.jpg,16.66
crm-bottom-5-crop-aug-image-42.jpg,16.68
crm-bottom-5-crop-aug-image-43.jpg,16.64
crm-bottom-5-crop-aug-image-44.jpg,16.75
crm-bottom-5-crop-aug-image-45.jpg,16.81
crm-bottom-5-crop-aug-image-46.jpg,16.87
crm-bottom-5-crop-aug-image-47.jpg,16.79
crm-bottom-5-crop-aug-image-48.jpg,16.71
crm-bottom-5-crop-aug-image-49.jpg,16.66
crm-bottom-5-crop-aug-image-50.jpg,16.68
crm-bottom-5-crop-aug-image-51.jpg,16.87
crm-bottom-5-crop-aug-image-52.jpg,16.69
crm-bottom-5-crop-aug-image-53.jpg,16.71
crm-bottom-5-crop-aug-image-54.jpg,16.78
crm-bottom-5-crop-aug-image-55.jpg,16.43
crm-bottom-5-crop-aug-image-56.jpg,16.77
crm-bottom-5-crop-aug-image-57.jpg,16.82
crm-bottom-5-crop-aug-image-58.jpg,16.7
crm-bottom-5-crop-aug-image-59.jpg,16.78
crm-bottom-5-crop-aug-image-60.jpg,16.82
crm-bottom-5-crop-aug-image-61.jpg,16.82
crm-bottom-5-crop-aug-image-62.jpg,16.77
crm-bottom-5-crop-aug-image-63.jpg,16.97
crm-bottom-5-crop-aug-image-1.jpg,16.87
crm-bottom-5-crop-aug-image-2.jpg,16.66
crm-bottom-5-crop-aug-image-3.jpg,16.85
crm-bottom-5-crop-aug-image-4.jpg,16.75
crm-bottom-5-crop-aug-image-5.jpg,16.63
crm-bottom-5-crop-aug-image-6.jpg,16.93
crm-bottom-5-crop-aug-image-7.jpg,16.74
crm-bottom-5-crop-aug-image-8.jpg,16.93
crm-bottom-5-crop-aug-image-9.jpg,16.84
crm-bottom-5-crop-aug-image-10.jpg,16.64
crm-bottom-5-crop-aug-image-11.jpg,17.03
crm-bottom-5-crop-aug-image-12.jpg,16.61
crm-bottom-5-crop-aug-image-13.jpg,16.63
crm-bottom-5-crop-aug-image-14.jpg,16.86
crm-bottom-5-crop-aug-image-15.jpg,16.77
crm-bottom-5-crop-aug-image-16.jpg,16.94
crm-bottom-5-crop-aug-image-17.jpg,16.82
crm-bottom-5-crop-aug-image-18.jpg,16.56
crm-bottom-5-crop-aug-image-19.jpg,16.65
crm-bottom-5-crop-aug-image-20.jpg,16.71
crm-bottom-5-crop-aug-image-21.jpg,16.67
crm-bottom-5-crop-aug-image-22.jpg,16.84
crm-bottom-5-crop-aug-image-23.jpg,16.71
crm-bottom-5-crop-aug-image-24.jpg,16.74
crm-bottom-5-crop-aug-image-25.jpg,16.69
crm-bottom-5-crop-aug-image-26.jpg,16.75
crm-bottom-5-crop-aug-image-27.jpg,16.68
crm-bottom-5-crop-aug-image-28.jpg,16.72
crm-bottom-5-crop-aug-image-29.jpg,16.55
crm-bottom-5-crop-aug-image-30.jpg,16.71
crm-bottom-5-crop-aug-image-31.jpg,16.63
crm-bottom-5-crop-aug-image-32.jpg,16.81
crm-bottom-5-crop-aug-image-33.jpg,16.65
crm-bottom-5-crop-aug-image-34.jpg,16.66
crm-bottom-5-crop-aug-image-35.jpg,16.6
crm-bottom-5-crop-aug-image-36.jpg,16.87
crm-bottom-5-crop-aug-image-37.jpg,16.66
crm-bottom-5-crop-aug-image-38.jpg,16.66
crm-bottom-5-crop-aug-image-39.jpg,16.72
